suite,mode,schedulers,workers,connections,docker_median_tps,native_median_tps,change_percent,docker_min_tps,docker_max_tps,native_min_tps,native_max_tps,repeat_ranges,native_unsuccessful_attempts,docker_min_fairness,native_min_fairness,native_min_worker_completions
matrix,sql,10,1,10,85220.28864575426,83201.58565725869,-2.3688056219651643,85035.00348743505,85964.10445829321,80399.01687625697,87582.45893542164,overlap,0,1.0,1.0,438487
matrix,sql,10,10,10,356854.7726801468,343332.87913773593,-3.7891866881462954,344953.58169509005,434851.7773784026,326682.7002694959,416640.81043171696,overlap,0,0.49743118974718725,0.49271513201664024,1
matrix,sql,10,40,10,482214.4131888577,479358.6196451554,-0.5922248413972375,454264.53437861806,491101.9728858312,469487.5062591365,479620.0901484307,overlap,0,0.22218169798149323,0.22389262517726807,1
matrix,sql,16,40,16,555112.5122239185,565599.4395255733,1.889153472625149,540610.0781138112,566894.0404985717,536205.427188972,591892.3104808144,overlap,0,0.33416107371309056,0.3220136692129544,1
pool-sweep,ecto,10,40,1,9402.240260439909,9055.897333664396,-3.6836213198332857,9153.689120328785,9454.751825488942,9001.040864674767,9100.431765313402,native below,0,0.9999998234254094,0.999999544897255,1126
pool-sweep,ecto,10,40,4,33754.81272565125,32537.91787890807,-3.6051002760220663,32499.478647906715,35409.96333939089,31881.761745053165,33825.34915766336,overlap,0,0.9999853363208897,0.9999836188729513,3951
pool-sweep,ecto,10,40,10,72610.23611166891,68596.6969571167,-5.527511504548343,66535.60747312183,76125.85474870435,62459.86627326072,73771.01327417976,overlap,0,0.9999435237207912,0.9999502553458784,7686
pool-sweep,ecto,10,40,20,98633.35968696486,97152.57175665608,-1.5013053747823246,98563.81033336137,100009.18877906185,96296.6540593726,97262.61433754307,native below,0,0.999956288620785,0.9999644710668951,11806
pool-sweep,ecto,10,40,40,108406.57464120288,107038.37286669175,-1.2621022101653168,107516.70339342399,109757.08255149791,106958.76347007453,107734.12100652386,overlap,0,0.9999771247390261,0.999980506366854,13262
pool-sweep,postgrex,10,40,1,9756.691489857792,9868.28744933414,1.1437889533798762,9694.035662660901,10463.651729890049,9726.93607739145,10052.74834541303,overlap,0,0.9999998137567269,0.9999994921032342,1216
pool-sweep,postgrex,10,40,4,35533.75608162311,36630.71396748639,3.0870867783959977,35529.35107749208,35657.91991565064,35483.24990863568,37730.95240105576,overlap,0,0.9999892223960579,0.9999878421593528,4407
